name,sf,N,num_trials,gamma_0,gamma_1,d,fpt,alive
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,14,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,15,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,20,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,20,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,15,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,13,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,15,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,20,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,20,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,20,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,15,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,14,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,15,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,13,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,15,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,15,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,22,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,15,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,14,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,14,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19,0
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,15,0
