name,sf,N,num_trials,gamma_0,gamma_1,d,fpt
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,14
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,15
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,20
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,20
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,15
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,13
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,15
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,20
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,20
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,20
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,15
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,14
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,15
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,13
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,15
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,15
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,22
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,15
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,14
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,14
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,15
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,14
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,20
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,17
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,16
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,15
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,18
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,15
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,14
sf_5000_100_0.01_0_0,sf,5000,100,0.01,0,0,19
