name,sf,N,num_trials,gamma_0,gamma_1,d,fpt,alive
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,22,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,20,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,27,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,19,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,25,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,27,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,22,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,20,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,22,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,24,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,19,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,20,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,28,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,23,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,26,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,21,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,25,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,21,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,21,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,18,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,22,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,26,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,20,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,20,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,20,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,22,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,23,0
sf_2500_100_0.0075_0.003_0.0,sf,2500,100,0.0075,0.003,0.0,22,0
