name,sf,N,num_trials,gamma_0,gamma_1,d,fpt,alive
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,44,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,47,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,42,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,48,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,46,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,45,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,46,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,46,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,45,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,46,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,46,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,47,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,45,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,43,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,44,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,46,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,50,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,45,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,45,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,46,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,45,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,49,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,42,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,44,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,50,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,45,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,42,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,47,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,45,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,44,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,47,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,45,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,48,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,42,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,44,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,48,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,45,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,46,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,45,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,48,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,45,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,47,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,44,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,43,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,44,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,43,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,51,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,43,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,43,0
r_2500_100_0.0075_0.003_0.0,r,2500,100,0.0075,0.003,0.0,44,0
