name,sf,N,num_trials,gamma_0,gamma_1,d,fpt,alive
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,50,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,54,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,53,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,55,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,62,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,58,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,55,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,58,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,57,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,58,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,54,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,58,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,54,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,58,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,56,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,54,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,55,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,59,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,56,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,52,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,57,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,52,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,52,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,55,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,50,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,56,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,53,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,51,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,54,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,55,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,56,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,54,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,57,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,55,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,56,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,58,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,62,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,55,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,53,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,50,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,50,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,51,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,58,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,50,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,56,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,51,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,56,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,56,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,53,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,50,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,55,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,53,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,56,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,56,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,59,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,51,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,58,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,54,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,51,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,56,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,49,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,55,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,57,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,58,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,53,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,55,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,55,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,53,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,52,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,54,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,55,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,54,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,54,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,51,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,56,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,59,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,54,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,52,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,61,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,59,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,51,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,58,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,56,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,55,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,53,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,51,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,57,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,56,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,53,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,52,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,51,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,54,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,53,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,58,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,57,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,51,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,56,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,54,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,57,0
r_2500_100_0.00625_0.003_0.0,r,2500,100,0.00625,0.003,0.0,52,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,56,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,67,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,57,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,59,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,56,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,59,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,61,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,59,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,59,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,67,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,63,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,57,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,62,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,65,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,60,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,55,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,63,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,58,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,60,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,59,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,60,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,63,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,70,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,58,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,64,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,62,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,63,0
r_2500_100_0.00625_0.006_0.0,r,2500,100,0.00625,0.006,0.0,58,0
