name,sf,N,num_trials,gamma_0,gamma_1,d,fpt,alive
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,46,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,42,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,47,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,42,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,43,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,42,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,40,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,38,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,41,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,40,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,43,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,42,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,45,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,47,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,44,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,45,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,42,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,38,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,46,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,41,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,43,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,43,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,43,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,40,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,42,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,42,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,42,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,43,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,41,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,42,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,45,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,43,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,43,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,43,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,42,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,41,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,45,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,46,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,46,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,42,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,46,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,42,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,44,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,42,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,42,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,44,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,43,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,41,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,43,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,43,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,45,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,42,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,42,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,48,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,42,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,43,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,44,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,42,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,45,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,40,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,45,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,45,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,44,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,39,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,43,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,38,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,46,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,45,0
r_2500_100_0.0075_0.0_0.0,r,2500,100,0.0075,0.0,0.0,43,0
