name,sf,N,num_trials,gamma_0,gamma_0_new,gamma_1,d,fpt,k,alive
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,157,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,147,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,159,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,167,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,172,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,154,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,133,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,128,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,133,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,159,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,147,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,172,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,166,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,141,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,149,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,125,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,151,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,157,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,149,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,162,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,173,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,147,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,148,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,159,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,145,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,155,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,154,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,163,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,158,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,158,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,173,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,128,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,148,0,0
r_750_1500_0,r,750,1500,0.001,0.05,0.0,0.0,151,0,0
