name,sf,N,num_trials,gamma_0,gamma_0_new,gamma_1,d,fpt,k,alive
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,93,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,154,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,117,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,86,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,84,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,90,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,114,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,83,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,126,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,100,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,106,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,122,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,73,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,101,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,110,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,102,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,91,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,110,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,101,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,80,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,87,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,73,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,79,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,109,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,118,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,93,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,94,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,106,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,105,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,73,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,100,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,106,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,89,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,113,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,100,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,101,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,126,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,80,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,96,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,105,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,100,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,99,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,75,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,103,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,106,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,73,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,103,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,58,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,87,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,115,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,73,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,114,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,100,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,90,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,105,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,92,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,95,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,114,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,89,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,94,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,107,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,112,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,99,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,84,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,125,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,88,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,79,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,83,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,124,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,98,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,90,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,121,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,88,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,94,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,77,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,94,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,98,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,111,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,76,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,80,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,118,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,101,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,94,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,94,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,122,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,111,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,95,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,74,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,58,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,100,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,111,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,103,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,101,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,116,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,80,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,106,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,116,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,92,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,94,0,0
sf_500_100_0,sf,500,100,0.003,0.03,0.0,0.0,111,0,0
sf_500_100_500,sf,500,100,0.003,0.03,0.0,0.0,108,500,0
sf_500_100_500,sf,500,100,0.003,0.03,0.0,0.0,103,500,0
sf_500_100_500,sf,500,100,0.003,0.03,0.0,0.0,69,500,0
sf_500_100_500,sf,500,100,0.003,0.03,0.0,0.0,105,500,0
sf_500_100_500,sf,500,100,0.003,0.03,0.0,0.0,126,500,0
sf_500_100_500,sf,500,100,0.003,0.03,0.0,0.0,92,500,0
sf_500_100_500,sf,500,100,0.003,0.03,0.0,0.0,120,500,0
sf_500_100_500,sf,500,100,0.003,0.03,0.0,0.0,77,500,0
sf_500_100_500,sf,500,100,0.003,0.03,0.0,0.0,107,500,0
sf_500_100_500,sf,500,100,0.003,0.03,0.0,0.0,108,500,0
sf_500_100_500,sf,500,100,0.003,0.03,0.0,0.0,103,500,0
sf_500_100_500,sf,500,100,0.003,0.03,0.0,0.0,119,500,0
sf_500_100_500,sf,500,100,0.003,0.03,0.0,0.0,110,500,0
sf_500_100_500,sf,500,100,0.003,0.03,0.0,0.0,111,500,0
sf_500_100_500,sf,500,100,0.003,0.03,0.0,0.0,95,500,0
sf_500_100_500,sf,500,100,0.003,0.03,0.0,0.0,94,500,0
sf_500_100_500,sf,500,100,0.003,0.03,0.0,0.0,102,500,0
sf_500_100_500,sf,500,100,0.003,0.03,0.0,0.0,99,500,0
