name,sf,N,num_trials,gamma_0,gamma_0_new,gamma_1,d,fpt,k,alive
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,192,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,206,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,174,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,186,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,185,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,196,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,163,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,198,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,196,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,195,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,219,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,162,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,181,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,169,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,199,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,250,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,191,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,186,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,164,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,170,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,172,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,213,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,136,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,170,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,203,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,155,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,153,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,237,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,192,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,218,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,168,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,206,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,189,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,213,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,200,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,156,0,0
sf_1000_550_0,sf,1000,550,0.001,0.05,0.0,0.0,187,0,0
