name,sf,N,num_trials,gamma_0,gamma_0_new,gamma_1,d,fpt,k,alive
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,209,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,227,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,228,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,211,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,225,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,211,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,213,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,232,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,194,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,239,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,214,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,224,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,203,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,211,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,201,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,229,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,208,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,207,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,213,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,221,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,202,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,204,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,207,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,230,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,212,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,194,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,216,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,188,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,194,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,209,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,201,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,227,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,208,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,208,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,200,0,0
r_1000_550_0,r,1000,550,0.001,0.05,0.0,0.0,215,0,0
